ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
381,20210101,20210113,20210108,16942,SO46700,1000.4375
375,20210101,20210113,20210108,15114,SO46701,2181.5625
369,20210101,20210113,20210108,15116,SO46702,2443.35
337,20210101,20210113,20210108,20576,SO46703,782.99
370,20210101,20210113,20210108,13059,SO46704,2443.35
370,20210101,20210113,20210108,13085,SO46705,2443.35
352,20210101,20210113,20210108,20186,SO46706,2071.4196
337,20210101,20210113,20210108,15199,SO46707,782.99
377,20210101,20210113,20210108,21200,SO46708,2181.5625
387,20210102,20210114,20210109,19172,SO46709,1000.4375
356,20210102,20210114,20210109,11484,SO46710,2071.4196
369,20210102,20210114,20210109,13592,SO46711,2443.35
373,20210102,20210114,20210109,13779,SO46712,2181.5625
371,20210102,20210114,20210109,24778,SO46713,2181.5625
368,20210102,20210114,20210109,13093,SO46714,2443.35
375,20210102,20210114,20210109,24976,SO46715,2181.5625
375,20210102,20210114,20210109,25046,SO46716,2181.5625
368,20210102,20210114,20210109,25048,SO46717,2443.35
360,20210102,20210114,20210109,12570,SO46718,2049.0982
362,20210103,20210115,20210110,11604,SO46719,2049.0982
371,20210103,20210115,20210110,13667,SO46720,2181.5625
370,20210103,20210115,20210110,16046,SO46721,2443.35
385,20210103,20210115,20210110,17095,SO46722,1000.4375
368,20210103,20210115,20210110,12918,SO46723,2443.35
368,20210103,20210115,20210110,28663,SO46724,2443.35
369,20210103,20210115,20210110,21191,SO46725,2443.35
373,20210103,20210115,20210110,20999,SO46726,2181.5625
370,20210103,20210115,20210110,21002,SO46727,2443.35
358,20210103,20210115,20210110,12354,SO46728,2049.0982
321,20210103,20210115,20210110,26019,SO46729,782.99
379,20210104,20210116,20210111,15100,SO46730,2181.5625
371,20210104,20210116,20210111,15101,SO46731,2181.5625
385,20210104,20210116,20210111,13992,SO46732,1000.4375
375,20210104,20210116,20210111,24781,SO46733,2181.5625
375,20210104,20210116,20210111,13060,SO46734,2181.5625
371,20210104,20210116,20210111,13226,SO46735,2181.5625
360,20210104,20210116,20210111,12341,SO46736,2049.0982
