ProductKey,internal_code,EnglishProductName,CategoryName,SubCategoryName,Color,Size,Status
1,AR-5381,Adjustable Race,Not Classified,Not Classified,NA,Not applicable,Current
2,BA-8327,Bearing Ball,Not Classified,Not Classified,NA,Not applicable,Current
3,BE-2349,BB Ball Bearing,Not Classified,Not Classified,NA,Not applicable,Current
4,BE-2908,Headset Ball Bearings,Not Classified,Not Classified,NA,Not applicable,Current
5,BL-2036,Blade,Not Classified,Not Classified,NA,Not applicable,Current
6,CA-5965,LL Crankarm,Not Classified,Not Classified,Black,Not applicable,Current
7,CA-6738,ML Crankarm,Not Classified,Not Classified,Black,Not applicable,Current
8,CA-7457,HL Crankarm,Not Classified,Not Classified,Black,Not applicable,Current
9,CB-2903,Chainring Bolts,Not Classified,Not Classified,Silver,Not applicable,Current
10,CN-6137,Chainring Nut,Not Classified,Not Classified,Silver,Not applicable,Current
11,CR-7833,Chainring,Not Classified,Not Classified,Black,Not applicable,Current
12,CR-9981,Crown Race,Not Classified,Not Classified,NA,Not applicable,Current
13,CS-2812,Chain Stays,Not Classified,Not Classified,NA,Not applicable,Current
14,DC-8732,Decal 1,Not Classified,Not Classified,NA,Not applicable,Current
15,DC-9824,Decal 2,Not Classified,Not Classified,NA,Not applicable,Current
16,DT-2377,Down Tube,Not Classified,Not Classified,NA,Not applicable,Current
17,EC-M092,Mountain End Caps,Not Classified,Not Classified,NA,Not applicable,Current
18,EC-R098,Road End Caps,Not Classified,Not Classified,NA,Not applicable,Current
19,EC-T209,Touring End Caps,Not Classified,Not Classified,NA,Not applicable,Current
20,FE-3760,Fork End,Not Classified,Not Classified,NA,Not applicable,Current
21,FH-2981,Freewheel,Not Classified,Not Classified,Silver,Not applicable,Current
22,FW-1000,Flat Washer 1,Not Classified,Not Classified,NA,Not applicable,Current
23,FW-1200,Flat Washer 6,Not Classified,Not Classified,NA,Not applicable,Current
24,FW-1400,Flat Washer 2,Not Classified,Not Classified,NA,Not applicable,Current
25,FW-3400,Flat Washer 9,Not Classified,Not Classified,NA,Not applicable,Current
26,FW-3800,Flat Washer 4,Not Classified,Not Classified,NA,Not applicable,Current
27,FW-5160,Flat Washer 3,Not Classified,Not Classified,NA,Not applicable,Current
28,FW-5800,Flat Washer 8,Not Classified,Not Classified,NA,Not applicable,Current
29,FW-7160,Flat Washer 5,Not Classified,Not Classified,NA,Not applicable,Current
30,FW-9160,Flat Washer 7,Not Classified,Not Classified,NA,Not applicable,Current
31,FC-3654,Fork Crown,Not Classified,Not Classified,NA,Not applicable,Current
32,FC-3982,Front Derailleur Cage,Not Classified,Not Classified,Silver,Not applicable,Current
33,FL-2301,Front Derailleur Linkage,Not Classified,Not Classified,Silver,Not applicable,Current
34,GP-0982,Guide Pulley,Not Classified,Not Classified,NA,Not applicable,Current
35,GT-0820,LL Grip Tape,Not Classified,Not Classified,NA,Not applicable,Current
36,GT-1209,ML Grip Tape,Not Classified,Not Classified,NA,Not applicable,Current
37,GT-2908,HL Grip Tape,Not Classified,Not Classified,NA,Not applicable,Current
38,HJ-1213,Thin-Jam Hex Nut 9,Not Classified,Not Classified,NA,Not applicable,Current
39,HJ-1220,Thin-Jam Hex Nut 10,Not Classified,Not Classified,NA,Not applicable,Current
40,HJ-1420,Thin-Jam Hex Nut 1,Not Classified,Not Classified,NA,Not applicable,Current
41,HJ-1428,Thin-Jam Hex Nut 2,Not Classified,Not Classified,NA,Not applicable,Current
42,HJ-3410,Thin-Jam Hex Nut 15,Not Classified,Not Classified,NA,Not applicable,Current
43,HJ-3416,Thin-Jam Hex Nut 16,Not Classified,Not Classified,NA,Not applicable,Current
44,HJ-3816,Thin-Jam Hex Nut 5,Not Classified,Not Classified,NA,Not applicable,Current
45,HJ-3824,Thin-Jam Hex Nut 6,Not Classified,Not Classified,NA,Not applicable,Current
46,HJ-5161,Thin-Jam Hex Nut 3,Not Classified,Not Classified,NA,Not applicable,Current
47,HJ-5162,Thin-Jam Hex Nut 4,Not Classified,Not Classified,NA,Not applicable,Current
48,HJ-5811,Thin-Jam Hex Nut 13,Not Classified,Not Classified,NA,Not applicable,Current
49,HJ-5818,Thin-Jam Hex Nut 14,Not Classified,Not Classified,NA,Not applicable,Current
50,HJ-7161,Thin-Jam Hex Nut 7,Not Classified,Not Classified,NA,Not applicable,Current
